Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8
WIPF3;NM_001080529;4;10;4;2;3;3
NPS;NM_001030013;0;0;0;0;0;0
LOC100506895;NR_038276;0;0;0;1;0;5.17
TIRAP;NM_001039661,NM_148910;59;80;36;64;81;115.01
C2CD2;NM_015500,NM_199050;341;261;82;1066.02;998;1531
SERINC3;NM_006811,NM_198941;2343;1437;1241;4288;2226;4300
SEC22A;NM_012430;478;301;233;396;232;510
ZNF143;NM_001282656,NM_001282657,NM_003442;291;205;108;336;224;592
C14orf166;NM_016039;2254;1390;861;1479;1040;2871
LOC391003;NM_001099850,NM_001099850_chr1:13035498_13039011;0;0;0;0;0;0
SESN1;NM_001199933,NM_001199934,NM_014454;690;547;366;664;462;690
MIR18B;NR_029949;0;0;0;0;0;0
KANK1;NM_001256876,NM_001256877,NM_015158,NM_153186;397;306;160;3621;2293;4746
SOX8;NM_014587;6;5;2;0;0;0
CIAPIN1;NM_020313;616;355;177;1170;851;1894
C8orf87;NM_001242668;3;2;0;0;0;0
WNT9A;NM_003395;29;33;7;30;32;70
MAP6;NM_033063,NM_207577;3;3;4;0;0;0
LOC100507506;NR_103764;2;3;3;1;2;1
ERBB2IP;NM_001006600,NM_001253697,NM_001253698,NM_001253699,NM_001253701,NM_018695;3348;3810;1654;3688;3032;5736
MIR3135A;NR_036086;0;0;0;0;0;0
LOC102724484;NR_120522;0;0;0;0;2;0
DHRS7B;NM_015510;442;252;200;277;369;481
TAF7;NM_005642;2965;2428;1288;2122;1898;3036
S100A4;NM_002961,NM_019554;43;38;19;1100;6090;1508
WSCD2;NM_014653;0;0;0;0;0;0
MAS1;NM_002377;0;0;0;0;0;0
MIR338;NR_029897;0;0;0;0;0;0
TMEM251;NM_001098621,NM_015676;433;336;161;100;98;158
TAAR2;NM_001033080;0;0;0;0;0;0
AATK-AS1;NR_027255;1;3;0;0;1;0
FAM180B;NM_001164379;1;4;0;0;0;0
ASB13;NM_024701,NR_024581,NR_037164;426;284;172;175;278;434
LINC00501;NR_047465;1;0;0;0;1.02;0
FAM127C;NM_001078173;303.43;259.51;131.51;3;32.53;14.11
MIR4673;NR_039820;0;0;0;0;0;0
SEC11A;NM_001271918,NM_001271919,NM_001271920,NM_001271921,NM_001271922,NM_014300,NR_073518;4471;2741;1928;2471;1519;4094
NDUFA8;NM_014222;449;261;133;546;408;1181
MIR450B;NR_030587;0;0;0;0;0;0
MIR7977;NR_107017;0;0;0;0;0;0
ZNF562;NM_001130031,NM_001130032,NM_001300885,NM_017656;804.18;815.11;333.15;727.9;464.06;1082.94
TUBA1B;NM_006082;27776.42;11788.9;5877.18;9702.94;1314.86;32851.9
LOC284009;NR_028335;4;4;1;1;0;0
SNAPIN;NM_012437,NR_052019,NR_052020;454;302;120;236;413;527
MIR145;NR_029686;0;0;0;0;0;0
COX19;NM_001031617;366;367;168;291;282;698
UGDH;NM_001184700,NM_001184701,NM_003359;8115;9754;4184;396;160.7;403.65
LINC01258;NR_110951;0;0;0;0;0;0
GABRA4;NM_000809,NM_001204266,NM_001204267;0;0;0;0;0;0
GRAP;NM_006613;5.11;4;1;0;0;0
MIR4514;NR_039739;0;0;0;0;0;0
CHD1;NM_001270;2074;2063;1062;1558;1365;2934
MIR548AL;NR_039710;0;0;0;0;0;0
KCNS3;NM_001282428,NM_002252;156;109;63;188;213;128
ZBTB8B;NM_001145720;5;5;3;0;0;0
CARD17;NM_001007232;0;0;0;2;3;1
CHRM3-AS1;NR_046582;0;0;0;0;0;0
GUCY1B2;NR_003923;112;249;51;0;0;0
KIAA1045;NM_015297;1;1;2;0;1;0
HEIH;NR_045680;264.95;172.64;75.57;260.08;341.63;319.62
MRC2;NM_006039;658;440;288;65;554;191
MBD3L2;NM_144614;0;0;0;0;0;0
HSBP1L1;NM_001136180;60;55;24;340;375;904
CFLAR-AS1;NR_040030;4.91;5.19;3;6;1.45;2.22
SERF1A;NM_021967,NM_021967_chr5:70196489_70214357,NM_022968,NM_022968_chr5:70196489_70203944;287;240;88;308;205;654.18
NUDT11;NM_018159;13.53;5.8;1;0;0;0
FBXW9;NM_032301;230;165;89;86;173;297
ZFP41;NM_001271156,NM_173832;256;308;113;110;262;312
MIR890;NR_030589;0;0;0;0;0;0
MIR6075;NR_106723;0;0;0;0;0;0
SGPL1;NM_003901;3270;2282;1525;2437.04;1326.82;2317.7
TRIM65;NM_001256124,NM_173547;543;583;190;247.84;325.99;688.16
SBSN;NM_001166034,NM_001166035,NM_198538;2;3;0;0;5;15
CPNE5;NM_020939;1;1;0;2;3;3
TBC1D9B;NM_015043,NM_198868;3175;2842;1308;2640;4053;5871
MIR6811;NR_106869;0;0;0;0;0;0
SIGIRR;NM_001135053,NM_001135054,NM_021805;432;361;144;119;315;232
VASH2;NM_001136474,NM_001136475,NM_001301056,NM_024749;23;72;18;7;8;12
SLC6A8;NM_001142805,NM_001142806,NM_005629;355.99;221.96;131.99;394;629.96;1163.97
MIR497HG;NR_038310;19.36;16.18;4.47;2.21;1.08;1.08
LDB3;NM_001080114,NM_001080115,NM_001080116,NM_001171610,NM_001171611,NM_007078;21;5;11;0;9.01;2.01
RPS6KA2-IT1;NR_046793;2;1;2;0;0;1
STAC2;NM_198993;1.05;1;0;24.63;21.93;6
MBD6;NM_052897;175;356;96;50;279.97;91.04
LDLRAD4-AS1;NR_040031;10;29;5;0;0;0
FBXO45;NM_001105573;1367;1015;509;623;307.24;1217.78
LOC101929194;NR_125920;0;0;0;0;0;0
ZNF180;NM_001278508,NM_001278509,NM_001288759,NM_001288760,NM_001288761,NM_001288762,NM_001291633,NM_013256;325;387;135;236;335;474
LOC728673;NR_126047;84.56;87.12;32.79;78.95;54.76;118.21
TMEM72-AS1;NR_033842;0;0;0;0;2;0
SRP72;NM_001267722,NM_006947;1715;1246;877;2367;1799;4379
RNF222;NM_001146684;11;18;3;6;6.37;7
FAM218A;NM_153027;51;25;14;91;35;80
LOC101928530;NR_110919;5;8;4;2;0;2
HSPE1-MOB4;NM_001202485;0;0;9.29;0;0;0
OR4L1;NM_001004717;0;0;0;0;0;0
G6PC;NM_000151,NM_001270397;0;0;0;0;0;1
LINC00577;NR_046407;0;0;0;0;0;0
MIA-RAB4B;NR_037775;7.52;3.75;0;60.85;0;41.06
FUZ;NM_001171937,NM_025129,NR_033269;139.97;98.3;42.73;38.66;96.83;85.15
SCNN1B;NM_000336;33;22;20;3540;122;3470
FGF14-AS2;NR_036487;0;0;0;2;6;16
TNFSF15;NM_001204344,NM_005118;29.2;24.28;9.01;22.43;292.43;53.02
SLX1A-SULT1A3;NR_037608,NR_037608_chr16:30205753_30215650;164.11;218.33;66.94;179.74;248.02;283.12
CALN1;NM_001017440,NM_031468;0;0;0;1;0;1
EMP3;NM_001425;15;9;2;235;27;383
RORA-AS2;NR_120318,NR_120319;0;0;0;0;0;0
SAP25;NM_001168682;5;15;4;4;18;24
ZCCHC13;NM_203303;0;0;0;0;0;0
MIR1236;NR_031601;0;0;0;0;0;0
LOC101927708;NR_126335;4;10;1;0;4;0
SRRM2;NM_016333;4145.94;7375.98;2737;2511;8801.99;5932
ZNF99;NM_001080409;0;0;0;0;0;1
KCTD20;NM_001286579,NM_001286580,NM_173562,NR_104480,NR_104481;2100;1580;828;2062.18;2201.09;3886.17
RNF31;NM_017999;1157;813;385;509;631;983
LOC101928034;NR_125947;0;0;0;3;3;74
OR52E4;NM_001005165;0;0;0;0;0;0
HERC2P9;NR_036443;139.6;244.99;78.64;49.49;110.66;253.82
SHC3;NM_016848;18;19;8;18;8;28
QTRT1;NM_031209;266;201;93;74;172;421
MAST1;NM_014975;21;29;13;5;6;7
SPTBN5;NM_016642;15;8;3;4;20;48
TDG;NM_003211;1484;1301;653;576;374;1059
PAOX;NM_152911,NM_207127,NM_207128,NR_109763,NR_109764,NR_109765,NR_109766;87;66;31;4;21;5
CCDC125;NM_001297696,NM_001297697,NM_176816;387;437;218;223.04;206.72;413.01
PIP5K1A;NM_001135636,NM_001135637,NM_001135638,NM_003557;2376.99;2405.67;1248.99;1403.01;1408.06;2313.37
STAR;NM_000349;5;4;2;7;8;3
LAMTOR5;NM_006402;414;338;176;540;443;1301
LOC644145;NR_003935;0;0;0;0;0;0
HTR5A;NM_024012;0;0;0;0;0;0
F2RL3;NM_003950;1;1;0;0;3;1
DNAI1;NM_001281428,NM_012144;1;1;2;0;5;3
RPL30;NM_000989;21823;12512;6371;10670;8755;23201
RPS29;NM_001030001,NM_001032;8709;5250;2400;4165;3598;6781
SNORD113-9;NR_003237;0;0;0;0;0;0
ABHD2;NM_007011,NM_152924;5053.9;4786;2770.96;3146.01;1436.51;3301.59
MOSPD3;NM_001040097,NM_001040098,NM_001040099,NM_023948;68;70;30;55;168;149
LOC102723376;NR_110795;0;0;0;0;0;0
MCM3AP;NM_003906;2507.22;2558.44;1178.34;1620.25;1694.41;3313.82
DMRTC2;NM_001040283;0;0;0;0;0;0
TRIM4;NM_033017,NM_033091;450;360;216;1402;1674;1581
NFYA;NM_002505,NM_021705;694;832.96;337;387;459;709.97
LINC00308;NR_038400;0;0;0;0;0;0
CTAGE5;NM_001247988,NM_001247989,NM_001247990,NM_005930,NM_203354,NM_203355,NM_203356;821.02;551.99;495.74;2655.74;1306.2;1846.16
CCDC71L;NM_175884;266;170;113;254;555;480
MEST;NM_001253900,NM_001253901,NM_001253902,NM_002402,NM_177524,NM_177525;1845;972;646;1225;1517;3287
C1orf204;NM_001134233;1;0;0;5.62;3.79;10.16
HIST1H2BJ;NM_021058;1296.98;620.72;198.41;455.74;71.2;2661.43
ANKRD39;NM_016466;226;212;92;56;48;163
RNF150;NM_020724;104;111;91;263;56;95
CTNNA3;NM_001127384,NM_001291133,NM_013266;24;107;10;1;1;0
THRB-AS1;NR_046244;5;3;4;0;5;4
CDH19;NM_001271028,NM_021153,NR_073130;4;10;1;81;2;39
PTCRA;NM_001243168,NM_001243169,NM_001243170,NM_138296;0;0;0;0;0;0
MRPL2;NM_001300848,NM_015950;355;226;106;202;147;522
KNSTRN;NM_001142761,NM_001142762,NM_033286;651;379;180;552;142;1621
MIR3124;NR_036070;0;0;0;0;0;0
C1orf95;NM_001003665;222;37;175;0;0;0
DLEU7-AS1;NR_046551;11;4;7;0;3;0
HLX-AS1;NR_046901;0;0;0;0;0.42;0
CLDN15;NM_001185080,NM_014343;72;92;38;23;76;110
PAFAH1B3;NM_001145939,NM_001145940,NM_002573;609.99;366.78;136.61;241.23;274.83;765.72
RHOBTB1;NM_001242359,NM_014836,NR_024554,NR_024555;143;86;67;90;43;408
RDH10;NM_172037;522;348;227;560.82;1406.13;797.76
SERAC1;NM_032861,NR_073096;95;116;44;298;184;329
PRPS1;NM_001204402,NM_002764;484;244;122;328;172;758
GALNT3;NM_004482;1371;1032;771;2023;854;3466
DLEU1;NR_002605,NR_109973,NR_109974;173;253;87;237.05;197;532
CEP57;NM_001243776,NM_001243777,NM_014679;432;314;166;903;745;1345
THOC5;NM_001002877,NM_001002878,NM_001002879,NM_003678;901;594;309;447;381;972
ANXA2P3;NR_001446;0;0;0;0;0;0
AMY2A;NM_000699;0;0;0;0;0;0
BIN1;NM_004305,NM_139343,NM_139344,NM_139345,NM_139346,NM_139347,NM_139348,NM_139349,NM_139350,NM_139351;31;28;10;260;329;888
TMEM198;NM_001005209,NM_001303098;47.02;23;20;20;29.02;101.1
AHRR;NM_001242412,NM_020731;66;54;14;13;14;31
DCAF10;NM_001286810,NM_024345;760;646;353;1111.96;1218.29;1913.29
TUFM;NM_003321;4237;2306;1690;5137;3383;9206
SMIM15;NM_001048249;1387.95;1060.98;524;1041;675.02;2058.16
TMTC4;NM_001079669,NM_001286453,NM_032813;263;197;77;186;160;506
OR5M11;NM_001005245;1;2;0;0;0;0
SMG5;NM_015327;2378;2027;973;1148;1389;2585
NDUFAF3;NM_199069,NM_199070,NM_199073,NM_199074;270;164;70;230;324;725
RBMY1B;NM_001006121,NM_001006121_chrY:23696764_23711212,NM_001006121_chrY:24026222_24040673,NM_001006121_chrY:24049764_24064214;0;0;0;0;0;0
ZNF195;NM_001130519,NM_001130520,NM_001242841,NM_001242842,NM_001242843,NM_001256823,NM_001256824,NM_001256825,NM_007152,NR_040083,NR_046381,NR_046382;544;591;301;394;255.01;569
RPL5;NM_000969;7674;5583;2609;12733;10116;29198
GPR183;NM_004951;12;31;14;5;17;5
BLID;NM_001001786;0;0;0;18;8;11
PC;NM_000920,NM_001040716,NM_022172;1060;616;353;1802;2548;2572
OR52A5;NM_001005160;0;0;0;0;0;0
TMEM260;NM_017799;369;403;220;434;371;442
SORBS2;NM_001145670,NM_001145671,NM_001145672,NM_001145673,NM_001145674,NM_001145675,NM_001270771,NM_003603,NM_021069;0;0;0;84;137;144
TRIAP1;NM_016399;700;513;223;486;313;689
OR52N1;NM_001001913;0;0;0;0;0;0
MIR4667;NR_039813;0;0;0;0;0;0
SNAR-G2;NR_024244;0;0;0;0;0;0
LAMB3;NM_000228,NM_001017402,NM_001127641;323;179;179;11738;15242;15849
DHX36;NM_001114397,NM_020865;1460;1462;797;904;1218;1579
CALCB;NM_000728;0;0;0;1;1;0
SNORD116-1;NR_003316;0;0;0;0;0;0
SNX5;NM_001282454,NM_014426,NM_152227;2780;2463;1140;2010;1550;4011
CPAMD8;NM_015692;33;15;14;45;65;11
TSC1;NM_000368,NM_001162426,NM_001162427;857;1130;471;547;847;986
ATF4;NM_001675,NM_182810;2895;2095;1471;4333;3858;9050
LOC101928438;NR_109802;3;2;2;0;1;0
KRT10;NM_000421;288;167;172;2185;404;6213
MPDZ;NM_001261406,NM_001261407,NM_003829;593;751;354;77;482;436
EGFR-AS1;NR_047551;3.29;5.36;2.22;12.34;17.97;18.72
LOC642426;NR_046104;0;0;0;0;0;0
SAGE1;NM_018666;0;0;0;0;0;0
LSAMP;NM_002338;6;13;3;11;0;40
IMPAD1;NM_017813;2936;1645;1420;6647;3446.91;6987.73
HTR4;NM_000870,NM_001040169,NM_001040172,NM_001040173,NM_001286410,NM_199453,NR_104445;0;0;0;15;1;1
TAS1R2;NM_152232;0;0;0;0;0;1
GATB;NM_004564;188;124;50;383;277;942
C20orf195;NM_024059;3;2;0;5;23;18
PPP1R14D;NM_001130143,NM_017726;1;0;0;1;2;0
CCDC47;NM_020198;8165;5194;4373;3396;2122;3604
REG4;NM_001159352,NM_001159353,NM_032044;5;1;0;0;0;0
VPS4A;NM_013245;1525;1173;525;1540;1340;3698
RIMS4;NM_001205317,NM_182970;685.74;464.1;275.82;78.84;54.33;64.23
LINC01522;NR_110027;170;98;85;0;0;0
ABCB6;NM_005689;877;389;365;342;326;404
CRTC3-AS1;NR_120372;6;8;0;0;1;1.06
GMEB2;NM_012384;751;591;227;263;306;606
SNORD32A;NR_000021;0;0;0;0;0;1
CDC42SE2;NM_001038702,NM_020240;1029;934;416;3059;3460;3407
MIR5588;NR_106712;0;0;0;0;0;0
C16orf47;NM_207385;0;0;0;0;0;0
LINC01461;NR_125761;0;0;2;0;0;2
SKIDA1;NM_207371;15;23;7;21.38;5.02;16
LINC00466;NR_038252;0;0;0;0;0;0
PTGDR;NM_000953,NM_001281469;0;0;1;0;0;0
KCNAB1-AS1;NR_046618;0;0;0;0;0;0
LAD1;NM_005558;1709;736;633;462;759;2664
TMC4;NM_001145303,NM_144686;649;523;314;374;2817;636
POU2AF1;NM_006235;0;2;1;0;3.01;0
CLOCK;NM_001267843,NM_004898;1300;1355;636;1596;819;1757
DHRS9;NM_001142270,NM_001142271,NM_001289763,NM_199204;0;0;0;0;154;108
LOC101927619;NR_110267;0;1;0;0;0;0
LINC01492;NR_121578;0;1;0;0;2.16;1.39
TXN2;NM_012473;459;530;169;360;455;891
ACOT13;NM_001160094,NM_018473;606.1;423.99;251.92;685.04;533.42;1490.8
TGIF2-C20orf24;NM_001199535;32.49;65.32;23.44;46.07;23.01;0
CPXM1;NM_001184699,NM_019609;0;0;4;0;0;0
KRTAP27-1;NM_001077711;0;0;0;0;0;0
MIR3202-2;NR_036175;0;0;0;0;0;0
ADRA2A;NM_000681;1;1;0;0;0;0
GAS2L1;NM_001278730,NM_006478,NM_152236;169;138;41;133;134;450
ELMO1;NM_001039459,NM_001206480,NM_001206482,NM_014800,NM_130442,NR_038120;0;0;0;0;0;0
ZIC3;NM_003413;15;13;5;0;0;0
GTF2F1;NM_002096;1042;670;374;1150;1209;2600.85
CPT1C;NM_001136052,NM_001199752,NM_001199753,NM_152359,NR_108072;15;20;9;1;5;3
GPR63;NM_001143957,NM_030784;4;4;3;3;32.8;2
SGSM2;NM_001098509,NM_014853;2050;2583;885;272;750;630
C10orf54;NM_022153;0;0;0;2030;3062;3502
MAGEC2;NM_016249;0;0;0;0;0;0
MIR3166;NR_036124;0;0;0;0;0;0
LAMA2;NM_000426,NM_001079823;1;0;0;20;18;25
CXorf49B;NM_001145139,NM_001145139_chrX:70983139_70987051;0;0;0;0;7;2
MED15P9;NR_033903;1.01;3.06;0;1;0;0
KCTD13;NM_178863,NR_110933;108;124;48;30;92;133
SF3B2;NM_006842;4700;3363;1648;2599;2310;5695
LOC101927410;NR_110777;0;0;0;0;0;0
KDM7A;NM_030647;524;552;323;466;755;498
DAZ1;NM_004081;0;0;0;0;0;0
PEG10;NM_001040152,NM_001172437;12;19;1;3018;2227;2467
PCDH20;NM_022843;3;2;0;0;2;0
MIR4313;NR_036198;0;0;0;0;0;0
GJB2;NM_004004;22;7;8;95;4;198
FAM171A1;NM_001010924;23;12;8;182;250;465
LGR4;NM_018490;684;541;364;3644;1172;4201
FAM19A5;NM_001082967,NM_015381;52;38;19;0;0;0
SPATA4;NM_144644;0;0;0;5;1;4
CAD;NM_004341;2132;2234;778;617;688;2397
NLRP13;NM_176810;0;0;1;0;0;0
KIF5C;NM_004522,NR_111932;565;384;183;1;4.94;0
PLXNB1;NM_001130082,NM_002673;987;1204;456;746;1798;1774
VEGFB;NM_001243733,NM_003377;280;218;104;142;303;497
FIGF;NM_004469;0;0;0;0;0;0
LINC01296;NR_122111,NR_122112,NR_122112_chr14:19650036_19684290;782.79;999.8;390.92;672.66;634.15;1532.54
SLC16A14;NM_152527;389;295;232;1638;262;2723
HTR3E;NM_001256613,NM_001256614,NM_182589,NM_198313,NM_198314;0;0;1;0;0;0
KRTAP4-12;NM_031854;0;0;0;0;0;0
STIP1;NM_001282652,NM_001282653,NM_006819;5112;3559;1827;2478;2424;5761
P2RY11;NM_002566;0;73.44;39.7;49.96;76.45;126.39
C2orf83;NM_001162483,NM_020161;0;0;0;1;0;0
XRN1;NM_001282857,NM_001282859,NM_019001;1134;1450;637;1918;2203;2224
ZSWIM8;NM_001242487,NM_001242488,NM_015037;914.96;1185.41;406.98;695.78;1148.72;1089.53
PSG10P;NR_026824;1;2;0;2;1;5
FAM126B;NM_173822;780.77;867.61;438.9;836.73;423.18;584.61
MIR127;NR_029696;0;0;0;0;0;0
SLC7A6;NM_001076785,NM_003983;1272.52;1278.86;688.61;1746.89;1366.17;2017.91
VTCN1;NM_001253849,NM_001253850,NM_024626,NR_045603,NR_045604;53;23;14;121;374;80
SRY;NM_003140;0;0;0;0;0;0
AGFG2;NM_006076;242;165;71;449;520;545
CFL2;NM_001243645,NM_021914,NM_138638,NR_028130,NR_028131;202;337;107;492;336;852
LINC01082;NR_103859;0;0;0;0;0;0
RAET1L;NM_130900;0;0;1.19;1.18;1.16;6.37
LINC00408;NR_104118;0;0;0;0;0;0
PSME3;NM_001267045,NM_005789,NM_176863,NR_049772;1028;877;387;833;1084;1803
TBC1D3;NM_001123391,NM_001123391_chr17:36337527_36348621;22.31;11.16;43.45;111.6;66.96;37.48
LRRC37A;NM_014834;29.62;54.63;30.86;29.1;84.22;61.24
MIR184;NR_029705;0;0;0;0;0;0
LCE3C;NM_178434;0;0;0;0;0;0
DSC2;NM_004949,NM_024422;857;509;540;19422.02;3298.56;14778.44
GPR61;NM_031936;2;0;1;0;0;4
PSMB11;NM_001099780;2;0;0;0;0;0
LCE2D;NM_178430;0;0;0;0;0;0
BOLA1;NM_016074;458;255;132;66;118;186
LINC01260;NR_034104;3;4;10;5;25;27
ASB4;NM_016116,NM_145872;0;0;0;4;31;3
FMO3;NM_001002294,NM_006894;3;2;0;0;1;0
TIMM21;NM_014177;200;137;87;391;160;864
MRPS22;NM_020191;680;394;265;735;418;1367
THRA;NM_001190918,NM_001190919,NM_003250,NM_199334;146.5;83.23;29.36;222.79;211.5;215.27
PMCHL1;NR_003921;0;0;0;0;0;0
MIR7-3;NR_029607;0;0;0;0;0;0
DNAJC5;NM_025219;4481;3176;1752;2016;2668;3788
PDLIM1;NM_020992;746;503;353;709;908;1863
NDUFAF1;NM_016013,NR_045620;149;113;58;400;245;569
COX5B;NM_001862;2043;1326;715;2306;1703;4486
FUT2;NM_000511,NM_001097638;25.91;20;8;46.99;29.25;22.22
LOC101927023;NR_110559;0;2;1;10;6;3
FN3KRP;NM_024619,NR_046408;438;417;141;364;415;1082
MIR629;NR_030714;0;0;0;0;0;0
CES1P2;NR_033740;0;0;0;1;1.06;4.3
CTC-338M12.4;NR_109909;58.14;71.26;22.81;32.03;44.12;74.69
LAMA3;NM_000227,NM_001127717,NM_001127718,NM_001302996,NM_198129,NR_130106;245;209;178;10298;1991;16839
MIR5192;NR_049824;0;0;0;0;0;0
UNG;NM_003362,NM_080911;1716;1139;429;593;454;1970
MIR513B;NR_031708;0;0;0;0;0;0
NPIPA7;NM_001282507,NM_001282507_chr16:18411775_18426519;0;0;0;65.68;33.98;158.36
MIR518A2;NR_030213;0;0;0;0;0;0
MIR6842;NR_106901;0;0;0;0;0;0
BBS10;NM_024685;330;294;154;422;257;449
FURIN;NM_001289823,NM_001289824,NM_002569;650;399;270;1368;1523;2696
VWA9;NM_001136043,NM_001207058,NM_001207059,NR_045104,NR_045105,NR_045106,NR_045901;1018;781;396;809;733;1206
YWHAH;NM_003405;1088;743;275;1281;604;3294
LST1;NM_001166538,NM_007161,NM_205837,NM_205838,NM_205839,NM_205840,NR_029461,NR_029462;1;0;0;0;1;0
MIR6069;NR_106717;0;0;0;0;0;0
SOWAHD;NM_001105576;3;3;1;0;1;2
RBP5;NM_031491;1;0;0;10;18;17
PELI3;NM_001098510,NM_001243135,NM_001243136,NM_145065;183.72;143.73;53;55.69;132.29;150.22
ITGA5;NM_002205;498;244;357;1688;1444;4545
TUBB6;NM_032525;1112;716;354;562;384;1810.8
PRR7;NM_001174101,NM_001174102,NM_030567;194;133;54;27;83;203
IFT46;NM_001168618,NM_020153;588;394;215;277;335;563
CNNM3;NM_017623,NM_199078;757.99;736;289;308;505.17;499.12
ZNF385D-AS2;NR_046876;0;0;0;0;0;0
TSNAX;NM_005999;817.4;600.01;371.32;1046.32;751.28;1594.67
OR6C2;NM_054105;0;0;0;0;0;0
MIR4440;NR_039642;0;0;0;0;0;0
TRIM56;NM_030961;860;810;389;538;1120.29;1343
PCMT1;NM_001252049,NM_001252050,NM_001252051,NM_001252052,NM_001252053,NM_005389;2152;1267;832;1707;852;2159
ERVV-2;NM_001191055;0;0;0;0;0;0
MIR608;NR_030339;0;0;0;0;0;0
DMBT1;NM_004406,NM_007329,NM_017579;1;0;0;157;133;292
TPGS2;NM_001271949,NM_001271950,NM_001271951,NM_001271952,NM_001271953,NM_001271954,NM_001271955,NM_001271956,NM_015476;552;466;198;768.24;442.07;1860.49
CTBP1;NM_001012614,NM_001328;1794.3;1359.95;591.22;1143.03;1470.25;3244.18
CYTH1;NM_001292018,NM_001292019,NM_004762,NM_017456;386;459;197;412;476;899
REM1;NM_014012;0;0;0;0;0;0
TGFB1I1;NM_001042454,NM_001164719,NM_015927;16;22;4;54;47;307
LOC100652931;NR_104151;0;0;0;0;0;0
ATR;NM_001184;1634;1636;846;1764;1544;2745
RBM19;NM_001146698,NM_001146699,NM_016196;623;634;208;359;327;1134
MECR;NM_001024732,NM_016011;142;121;61;166;287;516
ZBTB9;NM_152735;586;306;153;137;183;257
PGBD5;NM_001258311;21;30;12;0;0;0
HSPA4L;NM_014278;421;323;219;2076;863;2598
LINC01049;NR_120414;0;0;0;0;0;0
HUNK;NM_014586;63;88;28;4;16;6
MIR599;NR_030329;0;0;0;0;0;0
PARD6A;NM_001037281,NM_016948;78;53;18;31;67;42
SSBP3;NM_001009955,NM_018070,NM_145716;227;189;72;346;428;499
SERPINC1;NM_000488;7;1;0;2;0;4
C11orf85;NM_001037225,NM_001300803;0;1;0;0;0;0
TMEM33;NM_018126;1974;1249;946;4214.66;2014.93;4803.25
PSMD6;NM_001271779,NM_001271780,NM_001271781,NM_014814;18055;10799;7484;1395;921;2372
SMKR1;NM_001195243;46;27;12;16;24;87
GOLGA2;NM_004486;2039;1528;973;1216.02;1355.38;2158.74
KCTD18;NM_152387;396;249;145;418;438;688
MIR4803;NR_039967;0;0;0;0;0;0
C9orf66;NM_152569;39.24;31;8.12;18.1;87.67;50.53
TRANK1;NM_014831;169;192;109;140;965;259
LRRK1;NM_024652;100;156;48;454;432;860
MIR4659A;NR_039803;0;0;0;0;0;0
C1QTNF1-AS1;NR_040018,NR_040019;0;0;0;2;3;1
PGCP1;NR_029429;0;0;0;0;0;0
TCEAL8;NM_001006684,NM_153333;6;2;8;433;550;720
C2orf40;NM_032411;0;1;0;0;1;0
MIR6884;NR_106944;0;0;0;0;0;0
LOC101926892;NR_110653;0;0;0;0;0;0
MIR3914-1;NR_037477;0;0;0;0;0;0
CHEK2;NM_001005735,NM_001257387,NM_007194,NM_145862;400;301;168;185;93;491
MSRB2;NM_012228;362;162;116;261;464;512
PPP1R35;NM_145030;233;213;90;119;220;487
LLPH;NM_032338;663;499;289;391;235;1051.84
SCG2;NM_003469;8;1;4;10;2;22
SLC15A1;NM_005073;0;0;0;0;0;0
SSB;NM_001294145,NM_003142;1643.64;1344.55;762.35;1977.4;1110.43;4308.17
FLJ35934;NR_104343;3;1;5;2;0;2
MIR3186;NR_036152;0;0;0;0;0;0
MIR4799;NR_039962;0;0;0;0;0;0
KRTAP7-1;NM_181606;0;0;0;0;0;0
ATP5J2-PTCD1;NM_001198879;0;165.37;146.04;443.48;115.12;429.47
MIR1200;NR_031604;0;0;0;0;0;0
BEX2;NM_001168399,NM_001168400,NM_001168401,NM_032621;60;49;25;7;86;17
TMCO5A;NM_152453;0;0;0;0;0;0
WDR81;NM_001163673,NM_001163809,NM_001163811,NM_152348;613;751;217;278;690;895
TREML4;NM_198153;0;0;0;0;0;0
OR6K3;NM_001005327;0;0;0;0;0;0
QSOX1;NM_001004128,NM_002826;2521;1331;1284;3968;2830;4408
NMU;NM_001292045,NM_001292046,NM_006681,NR_120489;8;7;1;291;1;236
ULK4;NM_017886;148;166;58;57;39;152
ZKSCAN7;NM_001288590,NM_001288591,NM_001288592,NM_018651,NM_025169;3.13;4;1;0;0;0
SNRPG;NM_003096;1324;820;449;989;535;2158
DYNLT3;NM_006520;701;704;410;568;258;1137
ARL14EP;NM_152316;206;172;87;316;319;568
DNAJC13;NM_015268;2081;2310;1072;2223;1929;3091
LILRB4;NM_001278426,NM_001278427,NM_001278428,NM_001278429,NM_001278430;0;0;0;0;0;0
TSSK3;NM_052841;11;20;9;13;42;46
TMEM65;NM_194291;588;573;324;573;213;926
FOXJ2;NM_018416;211;327;113;179;316;298
OR8H2;NM_001005200;0;0;0;0;0;0
ST3GAL6;NM_001271142,NM_001271145,NM_001271146,NM_001271147,NM_001271148,NM_006100;2;5;3;57.78;7;61
NPIPB6;NM_001282524;44.24;62.21;34.17;23.91;46.38;76.57
LOC101929551;NR_110256;0;0;0;0;0;0
DEK;NM_001134709,NM_003472;3530;3388;1234;4115;1484;7612
LOC100132174;NR_104134;0;0;0;0;0;0
